timestamp,entropy,ult_ready,sub_ready,skill_name,key_pressed,kill_count,kill_reward
1768610863.6380565,128023.00,1,1,Key:e,e,6022,35
1768610870.2439454,79026.00,1,1,Key:left,left,6053,31
1768610876.9279501,104785.00,1,1,싸이킥 불릿,r,6084,31
1768610883.497712,98240.00,1,1,Key:right,right,6101,17
1768610890.0548017,115527.00,1,1,Key:e,e,6143,42
1768610896.79789,141758.00,1,1,Key:right,right,6158,15
1768610903.4534116,154270.00,1,1,Key:left,left,6197,39
1768610910.1270897,101229.00,1,1,싸이킥 불릿,r,6213,16
1768610916.7604887,141349.00,1,1,Key:e,e,6249,36
1768610923.401822,121129.00,1,1,Key:e,e,6284,35
1768610930.0740683,96116.00,1,1,싸이킥 불릿,r,6310,26
1768610936.667852,103293.00,1,1,Key:left,left,6346,36
1768610943.1549342,81670.00,1,1,Key:right,right,6367,21
1768610949.7003896,88256.00,1,1,Key:e,e,6393,26
1768610956.1158526,116987.00,1,1,Key:e,e,6417,24
